s,C
Time,"T air 1"
 9.5463435E+000, 3.1873734E+002
 9.6101004E+000, 2.3522523E+002
 9.6632311E+000, 2.2550032E+002
 9.7269879E+000, 2.9474695E+002
 9.7801186E+000, 3.9703673E+002
 9.8438755E+000, 3.2969432E+002
 9.9086949E+000, 2.5062773E+002
 9.9671387E+000, 2.1069235E+002
 1.0025582E+001, 2.1396467E+002
 1.0084026E+001, 2.2062236E+002
 1.0142470E+001, 2.4321639E+002
 1.0200914E+001, 2.8439274E+002
 1.0264033E+001, 3.2522453E+002
 1.0328321E+001, 2.9370062E+002
 1.0387286E+001, 2.6468280E+002
 1.0444920E+001, 2.7011112E+002
 1.0502554E+001, 2.7492562E+002
 1.0560187E+001, 2.9501792E+002
 1.0625123E+001, 3.1733997E+002
 1.0685833E+001, 3.0682923E+002
 1.0746543E+001, 2.8363178E+002
 1.0807253E+001, 3.1400210E+002
 1.0862904E+001, 3.2389629E+002
 1.0929685E+001, 3.0429143E+002
 1.0985336E+001, 2.9220770E+002
 1.1040987E+001, 2.7170360E+002
 1.1106544E+001, 2.3419207E+002
 1.1165979E+001, 2.1819708E+002
 1.1226405E+001, 2.2294838E+002
 1.1280887E+001, 2.3019867E+002
 1.1346266E+001, 2.3971595E+002
 1.1400749E+001, 2.4432933E+002
 1.1466128E+001, 2.2918848E+002
 1.1520610E+001, 2.2131030E+002
 1.1585989E+001, 2.7054678E+002
 1.1640471E+001, 3.3082720E+002
 1.1705850E+001, 3.4487179E+002
 1.1763601E+001, 2.7698078E+002
 1.1823532E+001, 2.3999484E+002
 1.1883463E+001, 2.4150551E+002
 1.1943393E+001, 2.5871156E+002
 1.2006920E+001, 2.7029301E+002
 1.2072843E+001, 2.6524473E+002
 1.2125582E+001, 2.7479017E+002
 1.2184979E+001, 2.9695239E+002
 1.2242744E+001, 3.0148885E+002
 1.2300509E+001, 2.9509445E+002
 1.2369827E+001, 2.8906257E+002
 1.2427592E+001, 2.7690995E+002
 1.2485357E+001, 2.5562773E+002
 1.2543122E+001, 2.5235589E+002
 1.2600887E+001, 2.5961959E+002
 1.2670205E+001, 2.6408747E+002
 1.2727970E+001, 2.5417305E+002
 1.2785735E+001, 2.3257356E+002
 1.2846966E+001, 2.2520429E+002
 1.2910508E+001, 2.3689316E+002
 1.2961341E+001, 2.4442448E+002
 1.3024883E+001, 2.4693283E+002
 1.3088424E+001, 2.3664392E+002
 1.3151966E+001, 2.3588546E+002
 1.3207329E+001, 2.5437077E+002
 1.3266014E+001, 2.7644221E+002
 1.3326913E+001, 3.0110795E+002
 1.3387812E+001, 3.2590190E+002
 1.3448712E+001, 3.1820557E+002
 1.3509611E+001, 3.0345826E+002
 1.3561287E+001, 3.5704721E+002
 1.3631328E+001, 3.7256213E+002
 1.3681849E+001, 3.6311341E+002
 1.3745001E+001, 3.5733552E+002
 1.3808153E+001, 3.4607703E+002
 1.3871305E+001, 3.1628034E+002
 1.3930139E+001, 3.0180976E+002
 1.3986094E+001, 3.0861359E+002
 1.4042049E+001, 3.1911678E+002
 1.4110314E+001, 3.1459837E+002
 1.4171865E+001, 3.1343483E+002
 1.4221105E+001, 3.2252850E+002
 1.4287580E+001, 3.2558019E+002
 1.4341745E+001, 3.1482454E+002
 1.4409451E+001, 2.9778169E+002
 1.4463615E+001, 2.9918804E+002
 1.4531321E+001, 3.0494354E+002
 1.4585486E+001, 3.2199105E+002
 1.4653191E+001, 3.6476425E+002
 1.4703139E+001, 3.6682871E+002
 1.4763816E+001, 3.6752006E+002
 1.4824493E+001, 3.3084397E+002
 1.4888811E+001, 2.9627535E+002
 1.4942207E+001, 2.8559955E+002
 1.5008952E+001, 2.7643808E+002
 1.5062348E+001, 2.6782714E+002
 1.5129093E+001, 2.5899295E+002
 1.5182489E+001, 2.6519793E+002
 1.5244622E+001, 3.1544269E+002
 1.5304863E+001, 3.9328220E+002
 1.5369828E+001, 3.6924933E+002
 1.5421800E+001, 2.9362691E+002
 1.5486765E+001, 2.7983688E+002
 1.5551730E+001, 3.2055841E+002
 1.5603702E+001, 3.1416950E+002
 1.5668667E+001, 3.0696831E+002
 1.5720640E+001, 3.0863024E+002
 1.5782002E+001, 3.0701223E+002
 1.5851392E+001, 3.0080672E+002
 1.5900636E+001, 2.8977220E+002
 1.5965885E+001, 2.7236517E+002
 1.6020054E+001, 2.5676218E+002
 1.6087765E+001, 2.5285946E+002
 1.6147351E+001, 2.8890312E+002
 1.6206936E+001, 3.2200469E+002
 1.6264469E+001, 3.3040847E+002
 1.6328684E+001, 3.3107208E+002
 1.6383909E+001, 3.3353148E+002
 1.6440419E+001, 3.3647179E+002
 1.6511056E+001, 3.2599777E+002
 1.6567566E+001, 3.2039383E+002
 1.6624076E+001, 3.2061385E+002
 1.6680585E+001, 3.1083364E+002
 1.6751223E+001, 3.0050739E+002
 1.6811970E+001, 2.8269426E+002
 1.6874131E+001, 2.6387114E+002
 1.6920752E+001, 2.5846840E+002
 1.6981348E+001, 2.6148481E+002
 1.7051229E+001, 2.7695543E+002
 1.7107134E+001, 2.9756717E+002
 1.7171887E+001, 3.0852130E+002
 1.7220955E+001, 3.1070297E+002
 1.7282289E+001, 3.0984812E+002
 1.7343624E+001, 3.1040193E+002
 1.7404958E+001, 3.1705987E+002
 1.7471200E+001, 3.1695471E+002
 1.7529222E+001, 3.1090596E+002
 1.7588594E+001, 3.0664946E+002
 1.7641399E+001, 3.0466303E+002
 1.7704668E+001, 3.0367754E+002
 1.7767937E+001, 3.0151810E+002
 1.7831207E+001, 2.9508004E+002
 1.7881822E+001, 2.9880873E+002
 1.7945091E+001, 3.5009136E+002
 1.8012157E+001, 3.7144539E+002
 1.8067834E+001, 3.4668829E+002
 1.8131361E+001, 3.2595936E+002
 1.8183449E+001, 3.0365763E+002
 1.8251659E+001, 2.8996047E+002
 1.8306228E+001, 3.0136723E+002
 1.8362160E+001, 3.1940173E+002
 1.8422185E+001, 2.9836083E+002
 1.8482211E+001, 2.7816634E+002
 1.8540469E+001, 2.7706680E+002
 1.8606665E+001, 2.9022244E+002
 1.8672861E+001, 3.0379955E+002
