s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.0200913E+001, 7.2031042E+002, 0.0000000E+000,-1.9695867E+002,-2.4488693E+002,-6.5405510E+001,-4.6857551E-002, 0.0000000E+000, 0.0000000E+000, 2.1198749E+002, 2.1301246E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0264033E+001, 7.3000122E+002, 0.0000000E+000,-1.9751178E+002,-2.4629180E+002,-6.4378670E+001,-4.6917525E-002, 0.0000000E+000, 0.0000000E+000, 2.2083862E+002, 2.2177205E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0328321E+001, 7.4906222E+002, 0.0000000E+000,-1.9923358E+002,-2.4830893E+002,-6.4174948E+001,-4.6993680E-002, 0.0000000E+000, 0.0000000E+000, 2.3563458E+002, 2.3729777E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0387286E+001, 7.6685838E+002, 0.0000000E+000,-2.0233790E+002,-2.5184516E+002,-6.3488113E+001,-4.7030419E-002, 0.0000000E+000, 0.0000000E+000, 2.4916851E+002, 2.4914017E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0444920E+001, 7.7645078E+002, 0.0000000E+000,-2.0751131E+002,-2.5446706E+002,-6.3824937E+001,-4.7190885E-002, 0.0000000E+000, 0.0000000E+000, 2.5108918E+002, 2.5060029E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0502554E+001, 7.8892533E+002, 0.0000000E+000,-2.1201376E+002,-2.5435661E+002,-6.4002648E+001,-4.7304877E-002, 0.0000000E+000, 0.0000000E+000, 2.5912521E+002, 2.5850500E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0560187E+001, 7.9335121E+002, 0.0000000E+000,-2.1688659E+002,-2.5375356E+002,-6.4508703E+001,-4.7340099E-002, 0.0000000E+000, 0.0000000E+000, 2.5986307E+002, 2.5815502E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0625123E+001, 7.8764720E+002, 0.0000000E+000,-2.1761597E+002,-2.5397989E+002,-6.5057708E+001,-4.7367403E-002, 0.0000000E+000, 0.0000000E+000, 2.5429657E+002, 2.5094627E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0685833E+001, 7.8840943E+002, 0.0000000E+000,-2.1757853E+002,-2.5451326E+002,-6.5704838E+001,-4.7338532E-002, 0.0000000E+000, 0.0000000E+000, 2.5254139E+002, 2.5056546E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.0746543E+001, 7.9486678E+002, 0.0000000E+000,-2.2283015E+002,-2.5562884E+002,-6.6663136E+001,-4.7476419E-002, 0.0000000E+000, 0.0000000E+000, 2.5194767E+002, 2.4969718E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
