s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 4.5720184E+001, 6.7813119E+002, 0.0000000E+000,-3.6730527E+002,-8.2088624E-002,-2.2697247E+002,-7.5413916E-002, 3.8588230E+001, 0.0000000E+000, 1.2914933E+002, 1.2228417E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1278657E+004
 4.5903980E+001, 6.5943272E+002, 0.0000000E+000,-3.6760881E+002,-8.2152414E-002,-2.2542103E+002,-7.5068980E-002, 2.5490881E+001, 0.0000000E+000, 8.8715984E+001, 9.1736532E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1355868E+004
 4.6084721E+001, 7.2159644E+002, 0.0000000E+000,-3.8118581E+002,-8.3944272E-002,-2.2489152E+002,-7.4575704E-002, 4.3109144E+001, 0.0000000E+000, 1.5569159E+002, 1.5846974E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1484358E+004
 4.6269787E+001, 7.1618772E+002, 0.0000000E+000,-3.7556460E+002,-8.2849082E-002,-2.2543581E+002,-7.5257140E-002, 4.6353895E+001, 0.0000000E+000, 1.6147768E+002, 1.6138310E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1627525E+004
 4.6444027E+001, 7.1256136E+002, 0.0000000E+000,-3.7722764E+002,-8.4161358E-002,-2.2596616E+002,-7.5189970E-002, 4.3533625E+001, 0.0000000E+000, 1.5609933E+002, 1.5274184E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1755473E+004
 4.6628693E+001, 6.7657680E+002, 0.0000000E+000,-3.7312097E+002,-8.4569208E-002,-2.2606123E+002,-7.5144479E-002, 3.0739212E+001, 0.0000000E+000, 1.0781899E+002, 1.0797410E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1849947E+004
 4.6800617E+001, 6.9245830E+002, 0.0000000E+000,-3.7641762E+002,-8.3060731E-002,-2.2551993E+002,-7.4695430E-002, 3.5138638E+001, 0.0000000E+000, 1.2572764E+002, 1.2550162E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.1950846E+004
 4.6984009E+001, 6.9821411E+002, 0.0000000E+000,-3.7971928E+002,-8.3750679E-002,-2.2601660E+002,-7.4653803E-002, 3.4552997E+001, 0.0000000E+000, 1.2612930E+002, 1.2687282E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2056471E+004
 4.7169525E+001, 6.8240313E+002, 0.0000000E+000,-3.7852101E+002,-8.1902701E-002,-2.2622186E+002,-7.5439785E-002, 2.9259624E+001, 0.0000000E+000, 1.0753535E+002, 1.0676254E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2147253E+004
 4.7348648E+001, 7.2772921E+002, 0.0000000E+000,-3.7991038E+002,-8.2002126E-002,-2.2690285E+002,-7.4722583E-002, 4.5110331E+001, 0.0000000E+000, 1.6301228E+002, 1.6586958E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2280500E+004
 4.7521976E+001, 6.8329161E+002, 0.0000000E+000,-3.7881510E+002,-8.6157790E-002,-2.3065738E+002,-7.4155663E-002, 3.1666920E+001, 0.0000000E+000, 1.1140626E+002, 1.0532574E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2374806E+004
 4.7700726E+001, 6.5844079E+002, 0.0000000E+000,-3.7516872E+002,-8.2420871E-002,-2.3255028E+002,-7.4446019E-002, 2.1700526E+001, 0.0000000E+000, 6.8496070E+001, 7.2265452E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2437992E+004
 4.7883911E+001, 6.9548250E+002, 0.0000000E+000,-3.8105110E+002,-8.1917494E-002,-2.3119812E+002,-7.4588603E-002, 3.2424632E+001, 0.0000000E+000, 1.1085780E+002, 1.1550141E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2535554E+004
 4.8065388E+001, 7.6427117E+002, 0.0000000E+000,-3.9309398E+002,-8.4503780E-002,-2.2914360E+002,-7.4786097E-002, 5.3611042E+001, 0.0000000E+000, 1.9505207E+002, 1.9548534E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2697416E+004
 4.8247334E+001, 6.8495188E+002, 0.0000000E+000,-3.7556043E+002,-8.5630382E-002,-2.2739449E+002,-7.3859959E-002, 3.3843647E+001, 0.0000000E+000, 1.2176730E+002, 1.1568113E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2802902E+004
 4.8422573E+001, 6.1662823E+002, 0.0000000E+000,-3.7021314E+002,-8.2933054E-002,-2.2685462E+002,-7.3659231E-002, 7.5651619E+000, 0.0000000E+000, 2.5452505E+001, 2.6969034E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2824655E+004
 4.8601643E+001, 7.2438900E+002, 0.0000000E+000,-3.9161824E+002,-8.4169757E-002,-2.2888784E+002,-7.4748810E-002, 3.5008541E+001, 0.0000000E+000, 1.2952865E+002, 1.3873255E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.2925229E+004
 4.8783901E+001, 7.5225551E+002, 0.0000000E+000,-3.9470600E+002,-8.2565872E-002,-2.3000730E+002,-7.5114853E-002, 4.9193272E+001, 0.0000000E+000, 1.7953896E+002, 1.7657779E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3075942E+004
 4.8970295E+001, 7.1687736E+002, 0.0000000E+000,-3.7760069E+002,-8.1134549E-002,-2.3007378E+002,-7.5192563E-002, 4.4699161E+001, 0.0000000E+000, 1.5445296E+002, 1.5374572E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3215140E+004
 4.9150570E+001, 7.2050929E+002, 0.0000000E+000,-3.8124123E+002,-8.4029130E-002,-2.2989810E+002,-7.4829133E-002, 4.3746612E+001, 0.0000000E+000, 1.5421866E+002, 1.5295772E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3347437E+004
 4.9324570E+001, 6.6348475E+002, 0.0000000E+000,-3.8184383E+002,-8.1865319E-002,-2.3173060E+002,-7.4797076E-002, 2.2209333E+001, 0.0000000E+000, 7.7733498E+001, 7.1962985E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3414312E+004
 4.9501862E+001, 6.3940467E+002, 0.0000000E+000,-3.8061918E+002,-8.2696322E-002,-2.3610009E+002,-7.5126603E-002, 1.0188412E+001, 0.0000000E+000, 3.0314875E+001, 3.2715989E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3443736E+004
 4.9692184E+001, 7.2572769E+002, 0.0000000E+000,-3.9671344E+002,-8.2037815E-002,-2.3779332E+002,-7.5439915E-002, 3.3389215E+001, 0.0000000E+000, 1.1746375E+002, 1.2445267E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3546323E+004
 4.9860180E+001, 7.6130724E+002, 0.0000000E+000,-3.9396487E+002,-8.2682383E-002,-2.3622112E+002,-7.5152841E-002, 5.3503734E+001, 0.0000000E+000, 1.8594729E+002, 1.8446715E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3696693E+004
 5.0049088E+001, 7.5090034E+002, 0.0000000E+000,-3.8728981E+002,-8.1270714E-002,-2.3459496E+002,-7.5174260E-002, 5.0400300E+001, 0.0000000E+000, 1.7758849E+002, 1.7925943E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3854655E+004
 5.0224499E+001, 6.9256049E+002, 0.0000000E+000,-3.8506263E+002,-8.1741799E-002,-2.3378388E+002,-7.4371229E-002, 3.1991890E+001, 0.0000000E+000, 1.1350482E+002, 1.0554976E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3951637E+004
 5.0406731E+001, 6.1422300E+002, 0.0000000E+000,-3.7773988E+002,-8.3499421E-002,-2.3434820E+002,-7.4089217E-002, 2.6165288E+000, 0.0000000E+000, 6.2446951E+000, 4.5938665E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3960798E+004
 5.0583599E+001, 6.5228670E+002, 0.0000000E+000,-3.8608814E+002,-8.3671592E-002,-2.3582702E+002,-7.4507004E-002, 1.0434979E+001, 0.0000000E+000, 3.4992250E+001, 4.0648332E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.3989276E+004
 5.0760387E+001, 7.7236606E+002, 0.0000000E+000,-4.0062070E+002,-8.3054833E-002,-2.3547960E+002,-7.4935124E-002, 4.8413878E+001, 0.0000000E+000, 1.7867934E+002, 1.8452165E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4129034E+004
 5.0948360E+001, 7.3505102E+002, 0.0000000E+000,-3.8743508E+002,-8.2469104E-002,-2.3534104E+002,-7.4386797E-002, 4.6140201E+001, 0.0000000E+000, 1.6150266E+002, 1.5825824E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4275099E+004
 5.1123779E+001, 7.0060954E+002, 0.0000000E+000,-3.8826661E+002,-8.3778292E-002,-2.3641332E+002,-7.4887618E-002, 3.0958181E+001, 0.0000000E+000, 1.0904663E+002, 1.0672912E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4366912E+004
 5.1302940E+001, 6.8594466E+002, 0.0000000E+000,-3.9223058E+002,-8.2046450E-002,-2.3736472E+002,-7.5005733E-002, 2.3117857E+001, 0.0000000E+000, 7.9910813E+001, 7.9310161E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4436310E+004
 5.1488426E+001, 6.8426996E+002, 0.0000000E+000,-3.9139636E+002,-8.3285050E-002,-2.3626094E+002,-7.4737732E-002, 2.2163389E+001, 0.0000000E+000, 7.6745022E+001, 7.8618024E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4504182E+004
 5.1661160E+001, 7.0809381E+002, 0.0000000E+000,-3.9698767E+002,-8.3106516E-002,-2.3591101E+002,-7.4721138E-002, 2.8010270E+001, 0.0000000E+000, 1.0198216E+002, 1.0304757E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4584480E+004
 5.1852444E+001, 6.7691338E+002, 0.0000000E+000,-3.9116214E+002,-8.4164361E-002,-2.3540202E+002,-7.4168811E-002, 2.2753816E+001, 0.0000000E+000, 7.8468221E+001, 7.2944709E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4659468E+004
 5.2030972E+001, 6.4553405E+002, 0.0000000E+000,-3.8090298E+002,-8.0955626E-002,-2.3328419E+002,-7.4548774E-002, 1.3179355E+001, 0.0000000E+000, 4.2065528E+001, 4.4370725E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4697975E+004
 5.2200417E+001, 7.1282557E+002, 0.0000000E+000,-3.9643353E+002,-8.4500868E-002,-2.3246520E+002,-7.4357001E-002, 2.8642972E+001, 0.0000000E+000, 1.0722244E+002, 1.1241096E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4776839E+004
 5.2384068E+001, 7.3298865E+002, 0.0000000E+000,-4.0281963E+002,-8.3736962E-002,-2.3134239E+002,-7.4460455E-002, 3.6421617E+001, 0.0000000E+000, 1.3660367E+002, 1.3509004E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4889012E+004
 5.2565777E+001, 6.6958054E+002, 0.0000000E+000,-3.8688843E+002,-8.4459328E-002,-2.3021109E+002,-7.4532810E-002, 2.0959927E+001, 0.0000000E+000, 7.5218113E+001, 7.3281950E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.4953363E+004
 5.2742020E+001, 6.8862780E+002, 0.0000000E+000,-3.8327052E+002,-8.4653437E-002,-2.3062316E+002,-7.4577730E-002, 2.8141956E+001, 0.0000000E+000, 9.9291177E+001, 1.0271685E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5034995E+004
 5.2924351E+001, 6.9771089E+002, 0.0000000E+000,-3.9423529E+002,-8.2500525E-002,-2.3070525E+002,-7.4040125E-002, 2.7595137E+001, 0.0000000E+000, 1.0326493E+002, 1.0020894E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5119995E+004
 5.3111145E+001, 6.8625733E+002, 0.0000000E+000,-3.9458158E+002,-8.3564385E-002,-2.3194967E+002,-7.4645475E-002, 2.2240882E+001, 0.0000000E+000, 7.9881532E+001, 8.1808745E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5188857E+004
 5.3289642E+001, 7.3110990E+002, 0.0000000E+000,-4.0353204E+002,-8.3793660E-002,-2.3313212E+002,-7.4531188E-002, 3.4131861E+001, 0.0000000E+000, 1.2441849E+002, 1.2841927E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5288717E+004
 5.3465023E+001, 7.4321573E+002, 0.0000000E+000,-3.9731243E+002,-8.4761155E-002,-2.3192457E+002,-7.3606020E-002, 4.6718954E+001, 0.0000000E+000, 1.6040149E+002, 1.6053932E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5425062E+004
 5.3644753E+001, 6.9285693E+002, 0.0000000E+000,-3.8400020E+002,-8.4929010E-002,-2.3043404E+002,-7.4239136E-002, 3.5531577E+001, 0.0000000E+000, 1.1746666E+002, 1.1379510E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5533754E+004
 5.3822937E+001, 6.5292439E+002, 0.0000000E+000,-3.8483423E+002,-8.3127985E-002,-2.2973571E+002,-7.4109538E-002, 1.6761936E+001, 0.0000000E+000, 5.5012688E+001, 5.4959142E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5583904E+004
 5.4008831E+001, 7.0163815E+002, 0.0000000E+000,-3.9629211E+002,-8.4433442E-002,-2.2933548E+002,-7.4367692E-002, 2.6848285E+001, 0.0000000E+000, 9.9725484E+001, 1.0270005E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5666039E+004
 5.4189808E+001, 7.2770002E+002, 0.0000000E+000,-4.0265428E+002,-8.5080841E-002,-2.2926651E+002,-7.3697769E-002, 3.4070665E+001, 0.0000000E+000, 1.2684550E+002, 1.2969112E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5767805E+004
 5.4366917E+001, 7.0550907E+002, 0.0000000E+000,-4.0133047E+002,-8.3751647E-002,-2.3016882E+002,-7.3964930E-002, 2.8904195E+001, 0.0000000E+000, 1.0793618E+002, 1.0275625E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5855354E+004
 5.4541126E+001, 6.8081299E+002, 0.0000000E+000,-3.9398609E+002,-8.4464431E-002,-2.3233905E+002,-7.4021822E-002, 2.0384025E+001, 0.0000000E+000, 7.4367505E+001, 7.4713388E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5914675E+004
 5.4728668E+001, 6.6526691E+002, 0.0000000E+000,-3.9733383E+002,-8.3170535E-002,-2.3480855E+002,-7.4124752E-002, 1.1490092E+001, 0.0000000E+000, 4.4642897E+001, 4.4457322E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.5951070E+004
 5.4904179E+001, 7.1591911E+002, 0.0000000E+000,-4.1149895E+002,-8.4315341E-002,-2.3792585E+002,-7.3845555E-002, 2.1840875E+001, 0.0000000E+000, 8.3390324E+001, 8.8177022E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6013115E+004
 5.5085602E+001, 7.4689528E+002, 0.0000000E+000,-4.1823574E+002,-8.3567730E-002,-2.3743868E+002,-7.4344830E-002, 3.3705320E+001, 0.0000000E+000, 1.2888267E+002, 1.2476827E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6116375E+004
 5.5270519E+001, 6.3826169E+002, 0.0000000E+000,-3.8938519E+002,-8.1938094E-002,-2.3761530E+002,-7.4183407E-002, 9.7325903E+000, 0.0000000E+000, 2.4260218E+001, 2.0837670E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6148186E+004
 5.5447285E+001, 6.3728713E+002, 0.0000000E+000,-3.9726443E+002,-8.3646127E-002,-2.4024960E+002,-7.4126260E-002, 8.5419118E-002, 0.0000000E+000,-1.3486648E+000,-2.9926010E-001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6148243E+004
 5.5629505E+001, 6.9112197E+002, 0.0000000E+000,-4.1036594E+002,-8.2725801E-002,-2.4137518E+002,-7.4351699E-002, 1.2647876E+001, 0.0000000E+000, 4.6635179E+001, 5.1871652E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6184467E+004
 5.5809589E+001, 7.8221856E+002, 0.0000000E+000,-4.2354377E+002,-8.4348033E-002,-2.4222243E+002,-7.4300303E-002, 3.9774146E+001, 0.0000000E+000, 1.5053585E+002, 1.5606786E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6301450E+004
 5.5986580E+001, 7.4101649E+002, 0.0000000E+000,-4.1473548E+002,-8.3932071E-002,-2.4236991E+002,-7.3862511E-002, 3.5657349E+001, 0.0000000E+000, 1.2701584E+002, 1.1941065E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6409711E+004
 5.6164402E+001, 6.6059973E+002, 0.0000000E+000,-3.9599409E+002,-8.5418419E-002,-2.4268551E+002,-7.3518049E-002, 1.2297179E+001, 0.0000000E+000, 3.3923595E+001, 3.4058374E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6446670E+004
 5.6344501E+001, 6.9633058E+002, 0.0000000E+000,-4.1221883E+002,-8.3612773E-002,-2.4409772E+002,-7.4247861E-002, 1.6211776E+001, 0.0000000E+000, 5.1734651E+001, 5.6067951E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6493661E+004
 5.6523190E+001, 7.4708819E+002, 0.0000000E+000,-4.2197059E+002,-8.3431685E-002,-2.4405402E+002,-7.4830444E-002, 3.0633049E+001, 0.0000000E+000, 1.0970836E+002, 1.1153836E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6584203E+004
 5.6709068E+001, 7.4446272E+002, 0.0000000E+000,-4.1470359E+002,-8.3833507E-002,-2.4316058E+002,-7.4713163E-002, 3.5438513E+001, 0.0000000E+000, 1.2447605E+002, 1.2187851E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6694792E+004
 5.6889751E+001, 6.4429367E+002, 0.0000000E+000,-3.9878328E+002,-8.4312692E-002,-2.4251934E+002,-7.3691380E-002, 5.1649342E+000, 0.0000000E+000, 1.3841358E+001, 7.9979815E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6713372E+004
 5.7061401E+001, 6.7379725E+002, 0.0000000E+000,-4.1609842E+002,-8.4290842E-002,-2.4495513E+002,-7.3924623E-002, 2.5415252E+000, 0.0000000E+000, 1.0293594E+001, 1.5127006E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6718844E+004
 5.7246143E+001, 7.0945658E+002, 0.0000000E+000,-4.2237781E+002,-8.2527955E-002,-2.4682941E+002,-7.3934390E-002, 1.7969357E+001, 0.0000000E+000, 5.9155374E+001, 5.8062252E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6774194E+004
 5.7430332E+001, 6.6988055E+002, 0.0000000E+000,-4.0779094E+002,-8.3675381E-002,-2.4602889E+002,-7.3730561E-002, 8.6938132E+000, 0.0000000E+000, 2.4178482E+001, 2.4597128E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6801178E+004
 5.7608349E+001, 7.1862243E+002, 0.0000000E+000,-4.1663521E+002,-8.3053537E-002,-2.4487723E+002,-7.4015189E-002, 1.9470437E+001, 0.0000000E+000, 7.3462227E+001, 7.6423356E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6857873E+004
 5.7791080E+001, 7.4852102E+002, 0.0000000E+000,-4.2415987E+002,-8.5092523E-002,-2.4427233E+002,-7.4270840E-002, 3.0179644E+001, 0.0000000E+000, 1.1005307E+002, 1.1010910E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6949847E+004
 5.7966915E+001, 6.8210866E+002, 0.0000000E+000,-4.0808229E+002,-8.4341822E-002,-2.4558207E+002,-7.4453668E-002, 1.3941890E+001, 0.0000000E+000, 4.5623405E+001, 4.2227389E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.6992366E+004
 5.8145641E+001, 6.6297062E+002, 0.0000000E+000,-4.0599038E+002,-8.2330624E-002,-2.4603961E+002,-7.4308397E-002, 5.2097715E+000, 0.0000000E+000, 1.4386082E+001, 1.5993767E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7007442E+004
 5.8321224E+001, 7.1645280E+002, 0.0000000E+000,-4.2269150E+002,-8.4594572E-002,-2.4616225E+002,-7.4290696E-002, 1.6429327E+001, 0.0000000E+000, 6.2949870E+001, 6.3869491E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7055252E+004
 5.8506142E+001, 6.8317537E+002, 0.0000000E+000,-4.1615802E+002,-8.3839897E-002,-2.4734879E+002,-7.3597843E-002, 9.6082643E+000, 0.0000000E+000, 3.1945564E+001, 2.9119389E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7085926E+004
 5.8687447E+001, 6.6438192E+002, 0.0000000E+000,-4.0767259E+002,-8.4004632E-002,-2.4789569E+002,-7.3916064E-002, 5.3666264E+000, 0.0000000E+000, 1.3383733E+001, 1.4022341E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7101828E+004
 5.8868752E+001, 6.9491819E+002, 0.0000000E+000,-4.1393238E+002,-8.4390096E-002,-2.4888272E+002,-7.4253865E-002, 1.3398116E+001, 0.0000000E+000, 4.3123495E+001, 4.5342558E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7141610E+004
 5.9051121E+001, 7.2143728E+002, 0.0000000E+000,-4.1974686E+002,-8.3159016E-002,-2.4890911E+002,-7.4193932E-002, 2.0393657E+001, 0.0000000E+000, 7.2360822E+001, 7.3017620E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7203537E+004
 5.9227093E+001, 7.0272268E+002, 0.0000000E+000,-4.1413994E+002,-8.3548262E-002,-2.4857086E+002,-7.4195534E-002, 1.6034116E+001, 0.0000000E+000, 5.4835805E+001, 5.5888246E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7250446E+004
 5.9409760E+001, 7.4092264E+002, 0.0000000E+000,-4.1949199E+002,-8.3940048E-002,-2.4818221E+002,-7.3499670E-002, 2.6077268E+001, 0.0000000E+000, 9.9358977E+001, 9.9168266E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7329487E+004
 5.9589798E+001, 7.0220295E+002, 0.0000000E+000,-4.1195223E+002,-8.5685329E-002,-2.4889440E+002,-7.3443059E-002, 1.7045150E+001, 0.0000000E+000, 6.0094770E+001, 5.8242341E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7381359E+004
 5.9763084E+001, 6.6395662E+002, 0.0000000E+000,-4.1095686E+002,-8.5831649E-002,-2.5307196E+002,-7.3215337E-002, 4.3054030E+000, 0.0000000E+000, 7.3971409E+000, 4.0741503E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7395413E+004
 5.9944622E+001, 6.7795377E+002, 0.0000000E+000,-4.1736230E+002,-8.2951020E-002,-2.5407209E+002,-7.3618996E-002, 3.5586969E+000, 0.0000000E+000, 5.8297035E+000, 9.9215106E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7404513E+004
 6.0126160E+001, 7.0678999E+002, 0.0000000E+000,-4.2012336E+002,-8.3585241E-002,-2.5273104E+002,-7.3425541E-002, 1.4505391E+001, 0.0000000E+000, 4.8252360E+001, 4.8283972E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7448386E+004
 6.0304218E+001, 7.0083139E+002, 0.0000000E+000,-4.1700214E+002,-8.4179819E-002,-2.5105800E+002,-7.3794924E-002, 1.3610285E+001, 0.0000000E+000, 4.6743779E+001, 4.6223555E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7488920E+004
 6.0488346E+001, 6.9992492E+002, 0.0000000E+000,-4.1717868E+002,-8.4407466E-002,-2.5173344E+002,-7.2982497E-002, 1.3904771E+001, 0.0000000E+000, 4.5597125E+001, 4.4760183E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7531921E+004
 6.0663620E+001, 6.7228491E+002, 0.0000000E+000,-4.1626220E+002,-8.4134924E-002,-2.5308717E+002,-7.4021690E-002, 3.0209118E+000, 0.0000000E+000, 4.8365077E+000, 5.7982967E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7540711E+004
 6.0841621E+001, 7.5391215E+002, 0.0000000E+000,-4.2981516E+002,-8.5022719E-002,-2.5403696E+002,-7.4059376E-002, 2.5008303E+001, 0.0000000E+000, 9.0079776E+001, 9.4909254E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7612800E+004
 6.1030140E+001, 7.2343931E+002, 0.0000000E+000,-4.1953276E+002,-8.2618020E-002,-2.5342405E+002,-7.4128093E-002, 2.4750115E+001, 0.0000000E+000, 7.8586310E+001, 7.5075862E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7692298E+004
 6.1206875E+001, 7.1311003E+002, 0.0000000E+000,-4.1737133E+002,-8.3849017E-002,-2.5117076E+002,-7.4774517E-002, 1.7885606E+001, 0.0000000E+000, 6.0653215E+001, 6.2294921E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7744541E+004
 6.1389931E+001, 7.0331139E+002, 0.0000000E+000,-4.1847905E+002,-8.3205694E-002,-2.4884576E+002,-7.4056321E-002, 1.7117930E+001, 0.0000000E+000, 5.6694199E+001, 5.2947248E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7798132E+004
 6.1564228E+001, 6.7854963E+002, 0.0000000E+000,-4.1318103E+002,-8.3764632E-002,-2.4985316E+002,-7.4486218E-002, 8.2275632E+000, 0.0000000E+000, 2.3210748E+001, 2.3584741E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7822171E+004
 6.1741547E+001, 6.7664831E+002, 0.0000000E+000,-4.1995836E+002,-8.3914007E-002,-2.5174736E+002,-7.4407343E-002, 3.7491077E+000, 0.0000000E+000, 7.9559216E+000, 8.5333726E+000, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7833405E+004
 6.1923523E+001, 6.9937747E+002, 0.0000000E+000,-4.2507374E+002,-8.3679118E-002,-2.5091878E+002,-7.3964245E-002, 9.5615724E+000, 0.0000000E+000, 2.9442366E+001, 3.2788881E+001, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7861060E+004
 6.2109451E+001, 7.6163235E+002, 0.0000000E+000,-4.2907359E+002,-8.3185936E-002,-2.4938828E+002,-7.5033969E-002, 3.0861961E+001, 0.0000000E+000, 1.0868368E+002, 1.1387421E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 9.7954630E+004
