s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 2.8620947E+001, 7.1960900E+002, 0.0000000E+000,-2.8656778E+002,-8.3323018E-002,-1.7367668E+002,-7.4707618E-002, 9.8488339E+001, 0.0000000E+000, 3.6019329E+002, 3.5769485E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.3013457E+004
 2.8807121E+001, 6.6210541E+002, 0.0000000E+000,-2.7212082E+002,-8.4032659E-002,-1.7735205E+002,-7.3898220E-002, 8.3883757E+001, 0.0000000E+000, 2.9852676E+002, 2.9635836E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.3275301E+004
 2.8982311E+001, 6.8639523E+002, 0.0000000E+000,-2.8510890E+002,-8.3893969E-002,-1.8183472E+002,-7.5336773E-002, 8.2051376E+001, 0.0000000E+000, 2.9797414E+002, 3.0134375E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.3513953E+004
 2.9161589E+001, 7.3295003E+002, 0.0000000E+000,-2.9474622E+002,-8.2092436E-002,-1.8317165E+002,-7.4935511E-002, 9.7219883E+001, 0.0000000E+000, 3.4809778E+002, 3.5209502E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.3802534E+004
 2.9341002E+001, 7.1924714E+002, 0.0000000E+000,-2.8607591E+002,-8.3547690E-002,-1.8252083E+002,-7.4708181E-002, 9.9455541E+001, 0.0000000E+000, 3.5543585E+002, 3.4994769E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.4102242E+004
 2.9522652E+001, 6.6575300E+002, 0.0000000E+000,-2.7828971E+002,-8.2757925E-002,-1.8222920E+002,-7.4334942E-002, 8.0194864E+001, 0.0000000E+000, 2.8669249E+002, 2.8527187E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.4346313E+004
 2.9700037E+001, 6.6848900E+002, 0.0000000E+000,-2.8900297E+002,-8.3402529E-002,-1.8322367E+002,-7.4948864E-002, 7.4178384E+001, 0.0000000E+000, 2.6931462E+002, 2.7028239E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.4565359E+004
 2.9889526E+001, 7.2281467E+002, 0.0000000E+000,-2.9380760E+002,-8.3369596E-002,-1.8534182E+002,-7.4626847E-002, 9.1109829E+001, 0.0000000E+000, 3.2893078E+002, 3.3461709E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.4850632E+004
 3.0061752E+001, 7.3741625E+002, 0.0000000E+000,-2.9618132E+002,-8.3658720E-002,-1.8812411E+002,-7.3915415E-002, 9.8939476E+001, 0.0000000E+000, 3.5667612E+002, 3.5189271E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.5136907E+004
 3.0243813E+001, 6.7741345E+002, 0.0000000E+000,-2.9228982E+002,-8.3817289E-002,-1.9119220E+002,-7.4226770E-002, 7.5566905E+001, 0.0000000E+000, 2.7125300E+002, 2.6934029E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.5367334E+004
 3.0426218E+001, 6.6006620E+002, 0.0000000E+000,-2.8816328E+002,-8.3500622E-002,-1.9299990E+002,-7.4360508E-002, 7.2383337E+001, 0.0000000E+000, 2.4999141E+002, 2.5112850E+002, 0.0000000E+000, 1.4229203E-002, 0.0000000E+000, 7.5586985E+004
